flex,acc-x,acc-y,acc-z,gyro-x,gyro-y,gyro-z
-3.872023,-4.733935,6.92463,-0.007621951,3.04878,-0.3506098,0
-3.98036,-5.596447,7.413646,-1.547256,3.262195,-0.1981707,0
-3.636194,-4.846463,6.985682,-1.295732,-3.300305,-3.71189,0
-3.593098,-4.841674,7.578247,-1.364329,7.560976,3.018293,0
-3.727174,-5.338471,7.280169,-2.515244,-4.207317,-3.216464,0
-9.30267,2.711433,-2.410961,-118.5899,-28.73476,77.75153,0
-8.078635,4.192846,-1.756147,-17.51524,-30.3811,-6.730183,0
-9.327211,2.167351,0.1532289,-0.2286585,17.5686,6.516768,0
-9.106945,2.323573,-0.1915361,-12.82774,16.47866,0.320122,0
-9.42238,1.986589,-0.439336,3.894817,-2.065549,1.074695,0
-9.810242,1.696292,0.1909376,-3.483232,4.314024,1.036585,0
-9.536704,1.854309,-0.1274912,-1.295732,0.945122,0.6478659,0
-9.78989,1.626261,-0.3214216,-0.3810976,3.635671,2.309451,0
-9.682152,1.867477,-0.2914941,-0.2515244,0.8612805,-1.60061,0
-9.46009,1.188721,-0.9415198,-10.3125,-13.04878,-6.775915,0
-7.676409,-3.482965,-0.005985504,74.74847,14.26829,-138.0488,0
-6.608595,-6.336854,3.368043,-0.304878,10.57927,-1.791159,0
-5.54557,-6.624157,2.348113,-5.510671,6.653964,23.75,0
-5.996877,-6.163274,2.697667,1.105183,-9.253049,3.117378,0
-6.241684,-6.678027,3.031658,1.059451,-0.152439,-0.3582317,0
-6.312912,-6.525397,3.265093,-1.577744,3.742378,3.041159,0
-6.491279,-6.580463,3.454235,-0.1905488,2.644817,0.472561,0
-6.554127,-6.836044,3.057395,3.20122,-8.597561,0.5259147,0
-6.269816,-6.402694,3.446453,-0.0152439,-1.21189,-4.535061,0
-6.804321,-6.755839,4.119224,3.490854,8.16311,1.989329,0
-6.423643,-6.725911,4.627393,11.52439,-27.24848,-10.17531,0
-4.369418,-4.716578,5.236119,-2.652439,2.827744,-4.817073,0
-3.01011,-4.622006,7.398682,41.54726,32.19512,12.19512,0
-8.37372,1.522114,-1.477222,-14.4436,50.27439,15.80793,0
-9.34397,0.9313444,-0.7386112,8.315549,5.990854,4.016768,0
-9.31524,2.826954,-0.9582792,25.59451,32.7439,58.30793,0
-0.4201824,8.831612,-4.240131,-7.22561,-11.81402,4.695122,0
-0.4644751,10.06044,-4.06296,-5.152439,-3.810976,-3.551829,0
0.02932897,9.491813,-3.458424,-4.466464,-4.634146,-7.347561,0
-0.2244564,10.20588,-3.605668,-6.493903,-3.269817,-5.533537,0
-0.1586159,9.19134,-2.943073,-0.06859756,-0.7545732,-0.4496952,0
-0.3172317,9.438541,-2.806004,-2.126524,-2.972561,-6.554878,0
-0.2663549,9.300875,-2.762909,1.699695,-0.5868903,1.501524,0
-0.1933318,9.334394,-3.045424,1.28811,2.682927,0.3506098,0
-0.2591723,9.315839,-3.035848,-0.6935976,-1.303354,-0.5335366,0
-7.972692,-1.042675,-2.136825,6.852134,-68.59756,-154.9848,0
6.354211,-2.678513,7.284359,10.60976,9.253049,6.722561,0
5.461772,-2.731186,7.962516,2.896342,2.842988,3.125,0
5.688025,-2.673725,7.536348,0.304878,-0.4344512,1.486281,0
5.521029,-2.439692,7.770381,-1.028963,5.655488,-1.257622,0
5.184644,-2.540248,7.852982,0.2134146,0.8993903,-1.730183,0
5.453393,-2.512116,8.147469,-1.181402,1.234756,1.509146,0
5.198411,-2.649783,7.712322,-3.239329,0.1143293,4.222561,0
5.292383,-2.567183,7.996035,2.14939,0.2286585,-0.1067073,0
5.18644,-2.284667,8.196549,-2.096037,6.471037,2.347561,0
5.13257,-2.4361,8.149862,-0.2286585,-0.03810976,0.5259147,0
5.176264,-2.417545,7.772177,-0.2439024,-3.742378,1.349085,0
5.108628,-2.415151,7.864953,0.2896341,-3.285061,-0.3125,0
-1.614889,0.09457096,10.85531,41.18903,131.8369,-21.55488,0
-5.811924,-5.099649,5.962759,-6.623476,1.875,-13.18598,0
-6.096835,-5.41748,5.600636,-2.545732,0.06859756,-2.378049,0
-5.807136,-5.143344,5.690419,3.544207,2.759146,-0.6478659,0
-9.279925,-2.185906,3.250727,-72.16463,-21.82165,81.09756,0
-9.223662,0.1376666,2.11827,2.77439,7.484756,8.20122,0
-9.274539,0.2633622,1.690905,3.856707,-2.042683,-4.92378,0
